fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,18,MAHARASHTRA,1829,CHANDRAPUR,794464,237.3614965,11,4,0,848,628,26308,36833,2168,59772,8758,103099,86.87413,174.30149,3325,5653,166354,479062,0,387538,927711,27156,87.42736,17468,78,9.31,1.13,100,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,274.7572266,19,330,0,2042,341,57309,655622,9488,11263,364620,224167,0,1801.368824,34007,60291,193648,544588,8,727358,1558677,59351,1801.368824,298850,89,7.86,7.33,100.06,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,606.8616128,12,59,24.36237,64,440,84026,244636,5887,16272,802,1953,0,1508.964345,18878,33378,285351,692448,2,732232,1493309,84090,1484.601975,105924,80,55.04,45.94,100.49,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,307.5570151,11,91,1.424,375,605,45868,213766,24055,76411,14884,39528,0.66,659.536329,18347,29963,187502,493779,0,683123,1534490,46243,657.452329,96035,84,52.82,48.24,100,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,248.7270592,12,38,0,405,439,31069,166036,13257,53275,1867,4332,0,412.97646,13205,21568,135741,338140,1,411606,866393,31474,412.97646,72675,86,64.18,57.69,100,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,342.4814094,11,46,0,659,300,32277,176702,11056,33827,3064,7605,0,605.1715,16033,23632,131825,320254,0,495610,1033668,32936,605.1715,69224,95,28.39,28.09,100,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,335.3004445,12,225,0,1280,201,50510,486810,24864,39968,53498,78513,0,1632.276094,37809,56556,242754,543593,0,702330,1431447,51790,1632.276094,217306,94,36.04,52.15,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,299.1352322,16,395,0,1566,40,23311,502885,40115,39075,178575,166031,35.49352,1539.799732,30806,55484,134417,389766,6,241693,614282,24877,1504.306212,238856,84,20.73,25.35,100.05,NA
2025-2026,April,18,MAHARASHTRA,1832,WASHIM,425205,313.6365042,12,300,0,38,109,28552,328472,21937,22677,9995,8822,5.28849,1035.496588,25957,41713,105866,244608,0,300013,592360,28590,1030.208098,147557,92,75.99,76.11,100,NA
2025-2026,April,18,MAHARASHTRA,1834,HINGOLI,357916,299.555217,12,44,0,26,136,22558,235534,28869,44174,36271,42851,0,705.5543847,18976,31731,96114,245584,0,272220,612613,22584,705.5543847,100814,90,80.44,75.23,100.01,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,308.5887843,17,39,0,61,122,13370,106779,2772,3762,48636,39746,10.3281,339.836118,6256,10935,32396,106003,2,147417,347226,13431,329.508018,54980,95,17.09,19.66,100.01,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,276.0633851,19,361,0,2078,325,57791,705361,9874,11292,404553,225421,0,1947.243454,35899,63629,194300,546202,9,729392,1561751,59869,1947.243454,321925,89,7.63,7.14,100.05,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,252.3401947,13,86,0,754,121,29485,286478,10770,17074,51974,79096,0,722.899143,20846,34939,104656,294271,3,523067,1053256,30239,722.899143,124468,92,53.77,53.37,100.02,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,364.4831307,13,17,0,299,607,19027,80276,3246,9040,10913,21839,0,292.592478,6017,10068,53430,142025,2,386691,836107,19326,292.592478,35774,94,37.76,34.9,101.65,NA
2025-2026,April,18,MAHARASHTRA,1812,SANGLI,57488,310.4988769,17,13,0.57024,257,238,11003,89038,5088,7423,366,216,0,277.03223,5116,8006,45941,99512,0,324027,572015,11260,276.46199,36366,90,18.18,12.65,100,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,549.2175177,13,63,24.36237,64,398,84241,286733,7070,16300,1207,1960,0,1599.150235,21796,38407,285777,693431,3,740953,1504735,84305,1574.787865,124079,80,56.26,47.2,101.13,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,338.3978389,13,227,0,1286,198,50529,499291,25657,39990,55602,78528,0,1689.589954,38392,57418,242814,543749,0,702892,1432484,51815,1689.589954,223333,94,36.83,52.88,100,NA
2025-2026,April,18,MAHARASHTRA,1827,NAGPUR,254320,279.3924803,10,23,0,402,380,18027,59324,6485,31723,5175,31021,9.54709,175.293885,5831,8165,98819,226442,0,290453,558486,18429,165.746795,25742,82,52.06,51.55,100.02,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,274.5169051,15,46,1.14223,1988,96,37851,379354,5847,10588,315240,286063,0,1042.53309,23995,36995,148742,354659,0,543323,1101351,39839,1041.39086,172485,90,10.29,8.97,100.39,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,270.1078555,19,374,0,2088,319,58365,756883,10188,11307,433814,226460,0,2044.40044,38234,67740,195035,548157,14,732163,1565836,60453,2044.40044,345007,89,7.78,7.35,100.23,NA
2025-2026,April,18,MAHARASHTRA,1814,KOLHAPUR,54096,319.5056664,17,23,0,120,379,11346,134678,13653,18150,310,355,0,430.3038414,7681,12780,51033,125876,3,375256,678305,11466,430.3038414,62120,94,19.97,15.22,103.65,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,507.0410702,13,69,24.36237,85,398,84347,312477,7907,16317,1225,1961,0,1608.749095,23560,41572,285898,693756,4,748304,1514287,84432,1584.386725,135211,80,56.86,48.25,101.2,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,287.9489557,12,103,1.424,376,546,46309,291488,30791,76612,19446,39713,0.66,841.420652,23194,38003,188274,495595,1,684110,1536004,46685,839.336652,130637,84,56.54,52.21,100,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,339.8935818,11,47,0,678,287,32315,188915,11735,33827,3574,7604,0,642.10996,16971,25156,131881,320425,0,496129,1034722,32993,642.10996,73936,95,31.34,31.04,100,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,325.0671176,18,107,2.03734,419,79,13089,170287,12485,15428,15181,14834,12.47766,568.0620426,9161,14905,58087,143824,5,228876,425671,13508,553.5470426,73124,88,46.8,46.54,100.26,NA
2025-2026,April,18,MAHARASHTRA,1829,CHANDRAPUR,794464,289.3939806,15,241,0,1911,93,29178,541886,47593,60308,125332,104431,86.87413,1655.059596,35393,58882,168791,485357,4,389150,930691,31089,1568.185466,270901,81,27.14,33.02,100.01,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,305.1713937,15,37,0,61,130,13291,91735,2318,3754,41610,39543,10.3281,290.277078,5903,10330,32252,105566,2,147090,346643,13352,279.948978,46866,95,17.69,20.32,100,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,367.5882867,12,17,0,282,637,18951,72789,2973,9032,10881,21856,0,267.563838,5627,9456,53294,141669,1,386454,835581,19233,267.563838,32504,94,35.63,32.49,100.86,NA
2025-2026,April,18,MAHARASHTRA,1816,JALNA,557645,322.0838916,15,26,0,468,503,48840,111895,3826,20396,703,3157,166.52546,526.9212305,7425,14540,174770,458556,2,508863,1126666,49308,360.3957705,49887,84,58.87,56.36,100,NA
2025-2026,April,18,MAHARASHTRA,1820,Dharashiv,303270,388.0281614,11,17,0.69,63,509,19321,33237,1769,20536,101,1128,0,129.65892,2984,4302,76330,193419,0,330085,711328,19384,128.96892,14613,78,60.31,55.98,100,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,269.0227731,12,37,0,350,441,31066,149431,11630,53259,1630,4332,0,402.00342,12175,19854,135668,338029,1,411403,866076,31416,402.00342,65522,86,63.35,56.53,100,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,345.0151277,12,207,0,1164,227,50137,422669,21954,39915,47870,78403,0,1458.27199,33258,49552,242180,542410,0,702009,1430891,51301,1458.27199,188999,94,34.18,50.33,100,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,324.8826473,17,95,2.03734,386,92,12956,148991,11149,15387,13083,14803,12.47766,498.560905,8313,13525,57827,143197,5,227864,424270,13342,484.045905,63685,88,47.22,46.92,100.06,NA
2025-2026,April,18,MAHARASHTRA,1827,NAGPUR,254320,282.9644399,10,18,0,384,435,17786,39348,4035,31641,3278,30970,9.54709,120.8879378,3853,5317,98528,225773,0,289243,556832,18170,111.3408478,17238,81,55.12,55.36,100,NA
2024-2025,Nov,18,MAHARASHTRA,1805,SINDHUDURG,293832,295.251194,27,99,130.7403825,2647,5,17570,322139,7934,3743,793,308,75.60363,1157.463257,11658,18934,38545,88475,282,129829,244073,20217,951.119244,128009,81,79.55,4.78,100.2,NA
2024-2025,Nov,18,MAHARASHTRA,1808,JALGAON,1733191,285.3626918,34,148,2343.990015,7697,48,34211,2016233,95811,31456,144538,37265,302.38013,8399.946906,57631,87677,141185,346956,3596,673667,1272377,41908,5753.576762,782649,91,53.1,0.77,101.31,NA
2024-2025,Nov,18,MAHARASHTRA,1809,AHMEDNAGAR,1568259,306.6593151,34,136,1907.27852,8180,27,35094,1927622,104877,32749,64764,25387,309.22267,8127.733614,55650,93298,152695,440825,3339,770591,1908722,43274,5911.232424,788770,89,67.1,0.09,105.99,NA
2024-2025,Nov,18,MAHARASHTRA,1812,SANGLI,466842,272.7455953,31,40,530.1992988,3313,44,10653,535218,27190,7998,547,217,105.79457,2095.777389,17187,24639,48020,102508,294,317558,557118,13966,1459.78352,188191,83,44.02,0.15,94.14,NA
2024-2025,Nov,18,MAHARASHTRA,1826,WARDHA,1291054,290.2154823,47,261,1024.082228,3649,6,11474,1331157,100171,15602,99137,13825,213.11717,5100.423106,28015,45084,55293,135353,2779,222035,410393,15123,3863.223708,491032,89,78.23,0.17,102.4,NA
2024-2025,Nov,18,MAHARASHTRA,1827,NAGPUR,1668118,277.3666948,41,303,1909.499959,4827,30,19019,1826521,234597,33803,234762,31390,293.75626,7269.417146,44287,63457,104950,239889,3532,282785,544472,23846,5066.160927,754576,83,63.11,1.07,101.88,NA
2024-2025,Nov,18,MAHARASHTRA,1806,NASHIK,2018188,295.0827502,32,527,4288.654511,18440,31,39713,2127859,35167,11430,824747,198063,359.17471,10926.77408,66387,104908,180692,504842,2398,699093,1486210,58153,6278.944857,755854,81,31.8,13.86,99.9,NA
2024-2025,Nov,18,MAHARASHTRA,1819,NANDED,4208646,282.3423615,42,209,5457.769609,4751,45,40510,4301589,456467,78012,303307,38921,596.91609,18199.89366,101846,162734,180717,479922,8069,662108,1497195,45261,12145.20797,1829083,82,46.03,1.35,106.06,NA
2024-2025,Nov,18,MAHARASHTRA,1822,BULDHANA,1376162,297.2618548,22,154,844.4671712,7781,9,26880,1493905,107200,33530,34545,7592,223.50627,5508.783153,66301,96253,124945,302686,362,485887,1012851,34661,4440.809712,520803,93,40.55,0.71,99.2,NA
2024-2025,Nov,18,MAHARASHTRA,1824,AMRAVATI,6203047,279.0516047,67,1035,12930.51246,13043,3,41682,6879416,668533,54332,2143167,138047,815.74175,32943.37495,101886,191417,192143,538368,21444,474093,1064636,54725,19197.12074,2821776,77,41.67,13.38,125.15,NA
2024-2025,Nov,18,MAHARASHTRA,1826,WARDHA,1291054,296.1715089,47,261,1024.082228,3768,4,11461,1347404,102036,15628,100601,13844,213.11717,5227.826156,28218,45467,55399,135641,2804,222095,410590,15229,3990.626758,497237,89,78.07,0.17,104.6,NA
2024-2025,Nov,18,MAHARASHTRA,1828,BHANDARA,5265395,186.5848004,37,5361,2624.623878,10424,8,15826,4968192,579027,59285,342820,33206,409.98466,12304.49966,131168,214559,188030,452680,5806,287574,631025,26250,9269.891126,3081906,79,23.83,16.51,100.97,NA
2024-2025,Nov,18,MAHARASHTRA,1832,WASHIM,2343099,298.4100343,38,573,857.4624766,2707,2,23145,2235531,157876,20229,64001,7251,363.01676,7891.528062,58809,92605,84779,201037,2262,281487,559622,25852,6671.048825,888682,89,62.81,24.25,99.35,NA
2024-2025,Nov,18,MAHARASHTRA,1834,HINGOLI,1868948,296.8634618,38,92,3010.818094,5543,5,21141,1854715,274143,44892,306967,42987,310.38653,8827.17578,47871,77678,94400,241199,3134,261910,593839,26684,5505.971156,739676,89,70.2,0.17,100.5,NA
2024-2025,Nov,18,MAHARASHTRA,1803,RAIGAD,148802,288.7496748,21,68,187.1752773,1406,99,18716,209726,6014,3092,48392,14753,42.9022,835.6606203,9782,15238,30044,69669,139,193706,349280,20122,605.583143,87649,70,26.36,2.89,104.97,NA
2024-2025,Nov,18,MAHARASHTRA,1808,JALGAON,1733191,286.2375938,35,153,2343.990015,8584,47,33966,2040135,96448,31469,145537,37282,302.38013,8486.003479,57899,88132,141331,347358,3664,673720,1272528,42550,5839.633335,792711,91,53.2,0.77,101.86,NA
2024-2025,Nov,18,MAHARASHTRA,1820,Dharashiv,2123816,268.7313802,46,162,1000.486037,2501,26,22831,2149858,130310,24197,8093,1159,306.86491,7084.694023,46015,71748,77599,197703,4762,326948,705214,25332,5777.343077,816801,79,51.85,0.1,111.78,NA
2024-2025,Nov,18,MAHARASHTRA,1823,AKOLA,1332533,286.6592828,32,1887,568.2955461,5993,2,19767,1467183,224122,35784,73753,10191,190.32159,4964.433401,45801,66313,87872,201838,2375,291561,563316,25760,4205.816265,527486,89,39.87,4.19,107.7,NA
2024-2025,Nov,18,MAHARASHTRA,1825,YAVATMAL,4721015,296.9774849,37,621,3025.914992,14557,7,36618,4725939,240810,38324,515821,72983,638.89252,17699.78229,124983,184323,219486,491759,5707,680939,1391164,51175,14034.97478,1918669,91,48.52,21.61,99.44,NA
2024-2025,Nov,18,MAHARASHTRA,1829,CHANDRAPUR,4667720,248.0209424,44,727,8109.48368,13439,9,26543,4696726,491370,63559,1035206,107386,541.02858,20299.37635,104782,182171,174059,497908,8898,383555,918111,39982,11648.86409,2404410,78,34.5,13.58,101.52,NA
2024-2025,Nov,18,MAHARASHTRA,1832,WASHIM,2343099,298.4427918,38,573,857.4624766,2688,2,23153,2234932,157816,20228,64001,7251,363.01676,7890.472692,58793,92574,84768,200999,2260,281460,559555,25841,6669.993455,888441,89,62.8,24.24,99.35,NA
2024-2025,Nov,18,MAHARASHTRA,1803,RAIGAD,148802,283.3065722,21,68,187.1752773,1370,103,18643,205623,5885,3075,46687,14718,42.9022,812.6209503,9645,15011,29952,69440,132,193672,349210,20013,582.543473,85944,70,25.77,2.92,102.11,NA
2024-2025,Nov,18,MAHARASHTRA,1808,JALGAON,1733191,285.4277597,34,148,2340.721032,7650,48,34208,2014994,95757,31456,144398,37268,302.38013,8394.453394,57631,87674,141188,346961,3589,673660,1272360,41858,5751.352232,782159,91,53.11,0.77,101.29,NA
2024-2025,Nov,18,MAHARASHTRA,1809,AHMEDNAGAR,1568259,306.75621,34,136,1907.568996,8180,27,35094,1926956,104865,32749,64764,25387,309.22267,8127.84886,55650,93298,152695,440823,3338,770591,1908720,43274,5911.057194,788474,89,67.09,0.09,105.99,NA
2024-2025,Nov,18,MAHARASHTRA,1818,BEED,7329701,306.602136,45,569,7180.449635,3088,66,71874,7824746,127442,15997,16273,1891,868.28779,32039.5758,173363,300655,265255,650201,17161,685016,1417115,74962,23990.83837,3234641,77,39.22,4.79,296.68,NA
2024-2025,Nov,18,MAHARASHTRA,1808,JALGAON,1733191,285.3401705,34,147,1885.123489,7306,52,40555,1989600,94373,31424,141743,37187,275.66074,7837.912261,57162,86891,140949,346434,3547,673622,1272249,47861,5677.128031,770910,92,53.29,0.78,101.02,NA
2024-2025,Nov,18,MAHARASHTRA,1809,AHMEDNAGAR,1568259,307.082265,34,135,1802.228233,7958,28,39798,1901904,103670,32711,63861,25330,273.06654,7915.704655,55222,92552,152435,440134,3262,770584,1908687,47756,5840.409882,777831,90,67.18,0.09,105.95,NA
2024-2025,Nov,18,MAHARASHTRA,1813,SOLAPUR,1125918,320.8195817,34,141,536.2291996,2862,34,23873,1229874,44807,15536,9569,2535,164.02848,4645.934302,35748,58066,85704,196197,1921,561826,975442,26735,3945.676622,435583,96,80.41,0,102.53,NA
2024-2025,Nov,18,MAHARASHTRA,1819,NANDED,4208646,278.4480072,41,208,4507.762984,4744,46,53732,4264463,452096,77992,301033,38909,596.91609,16978.99132,101670,162423,180638,479747,7892,661952,1496940,58476,11874.31224,1811480,86,46.2,1.35,104.19,NA
2024-2025,Nov,18,MAHARASHTRA,1821,LATUR,4261434,293.0796966,50,212,7402.760635,8815,2,33311,4111742,370301,56021,40452,4227,555.79263,20009.23425,81529,130741,131967,330178,10329,396682,839843,42126,12050.68098,1628682,88,59.95,0.02,99.32,NA
2024-2025,Nov,18,MAHARASHTRA,1823,AKOLA,1332533,286.3894462,31,1883,495.9831355,5817,2,25337,1444889,220552,35719,72783,10184,188.49899,4822.491731,45331,65537,87667,201367,2325,291489,563185,31154,4138.009605,519419,91,39.64,4.26,107.23,NA
2024-2025,Nov,18,MAHARASHTRA,1825,YAVATMAL,4721015,296.5220356,37,613,3025.064162,14123,7,42542,4692537,238623,38265,512695,72924,630.61398,17570.08437,124263,183170,219085,490855,5648,680773,1390840,56665,13914.40623,1905295,92,48.59,21.75,99.27,NA
2024-2025,Oct,18,MAHARASHTRA,1804,RATNAGIRI,359145,297.8631829,21,84,197.9558304,5541,16,25084,399285,15304,7691,4328,1188,107.36677,1494.64561,18976,27100,57660,130166,149,256474,475517,30625,1189.32301,171816,96,56.51,0.39,103.47,NA
2024-2025,Oct,18,MAHARASHTRA,1807,DHULE,1717969,300.3501523,40,130,418.6550952,3166,16,31129,1818856,66718,16684,293675,71998,207.18665,6088.778512,45152,72799,96512,269805,3753,444894,937578,34295,5462.936767,692992,89,66.23,0.2,104.66,NA
2024-2025,Oct,18,MAHARASHTRA,1808,JALGAON,1679030,298.1331341,33,138,1865.936549,6214,56,40579,1844514,88283,31356,132994,36963,217.05517,7582.099116,54811,82911,139661,343520,3211,673266,1271437,46793,5499.107396,709517,92,53.3,0.82,104.42,NA
2024-2025,Oct,18,MAHARASHTRA,1813,SOLAPUR,1090733,344.2107396,33,131,531.0929096,2623,38,23623,1144173,40422,15351,8904,2519,163.75238,4633.211636,34187,55251,84700,194084,1732,561429,974563,26246,3938.366346,402361,96,80.86,0,107.86,NA
2024-2025,Oct,18,MAHARASHTRA,1817,PARBHANI,3254702,326.070752,39,265,3535.991834,2885,38,39153,3203507,113752,20922,22927,2897,625.7078,14607.399,81942,129802,143979,323816,5197,420224,809530,42038,10445.69936,1239391,90,57.87,0.11,109.13,NA
2024-2025,Oct,18,MAHARASHTRA,1822,BULDHANA,1333156,299.6251943,21,150,835.9573412,6673,9,30778,1383303,99315,33298,32405,7512,223.50627,5204.187913,63272,91210,123477,299275,324,485616,1012247,37451,4144.724302,480398,94,39.99,0.77,99.87,NA
2024-2025,Oct,18,MAHARASHTRA,1825,YAVATMAL,4573484,299.1811815,37,600,3005.102232,11833,7,43503,4538233,229006,37993,496406,72536,630.18598,17212.82732,121246,178361,217522,487446,5308,680366,1390117,55336,13577.53911,1841582,92,48.96,22.07,99.97,NA
2024-2025,Oct,18,MAHARASHTRA,1833,GONDIA,5962620,216.9668884,38,331,8242.42704,12278,15,36551,5908731,489299,52422,931133,90069,660.8658,21723.28263,153781,243579,237031,610721,6787,354883,839697,48829,12819.98979,3829771,80,23.63,12.77,102.35,NA
2024-2025,Aug,18,MAHARASHTRA,1803,RAIGAD,79326,308.8909733,19,51,36.39281387,663,186,18168,114471,2835,2902,24723,13726,6.73644,396.7198399,5938,9012,27498,64085,68,191030,344646,18831,353.590586,46555,68,47.35,5.54,104.28,NA
2024-2025,Aug,18,MAHARASHTRA,1804,RATNAGIRI,206834,298.9823373,18,70,30.9619478,3315,53,25622,302275,10251,7571,3628,1154,52.85325,987.5640578,16124,22660,56214,126854,85,255549,473831,28937,903.74886,130704,96,53.16,0.25,103.08,NA
2024-2025,Aug,18,MAHARASHTRA,1809,AHMEDNAGAR,917771,324.1223493,29,96,731.1366981,3316,70,40003,1170120,66574,31885,44163,24597,115.71484,4639.471972,39704,65030,145525,420289,1348,767449,1899833,43319,3792.620434,466158,91,68.52,0.13,104.38,NA
2024-2025,Aug,18,MAHARASHTRA,1810,PUNE,206577,319.5976781,27,39,162.0940288,3353,400,21259,292911,14377,9986,31690,20240,76.10895,1174.339734,10498,16305,53590,141860,324,377087,810363,24612,936.136755,103223,93,68.41,0.01,104.42,NA
2024-2025,Aug,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,6423243,308.2394285,59,1347,1431.448055,3932,21,85206,9044737,196147,28315,126257,12320,375.78532,29686.67901,153169,274116,238490,633967,26869,686138,1459325,89138,27879.44564,3782423,95,82.58,0.2,109.58,NA
2024-2025,Aug,18,MAHARASHTRA,1817,PARBHANI,1902007,327.5023565,37,244,1225.315841,1476,45,38900,2925822,99250,20710,19463,2868,197.97559,11005.42743,78589,124100,142716,321069,4060,416505,804291,40376,9582.135997,1129363,90,59.96,0.11,107.74,NA
2024-2025,Aug,18,MAHARASHTRA,1829,CHANDRAPUR,3049650,245.888178,41,677,383.988771,7180,16,31535,3984622,414091,63291,860397,106325,351.18473,10532.88794,96882,167755,171790,493235,6147,380937,914721,38715,9797.714437,2121967,79,30.3,18.63,101.84,NA
2024-2025,Aug,18,MAHARASHTRA,1832,WASHIM,1602891,299.1615566,37,499,131.7872999,1815,2,26563,2029920,134998,19399,56908,7002,131.45855,6335.98612,54616,85774,82522,195962,1983,279051,555061,28378,6072.74027,808987,91,64.55,24.83,99.64,NA
2024-2025,Aug,18,MAHARASHTRA,1806,NASHIK,1018719,299.4181249,30,431,1184.247846,8578,65,49213,1668587,22370,10911,651808,193022,200.50502,6380.804775,54430,84846,174898,490185,1699,692530,1474483,57791,4996.051909,586854,81,35.21,14.43,100.65,NA
2024-2025,Aug,18,MAHARASHTRA,1828,BHANDARA,3747987,180.5881106,36,5229,352.4366466,5643,8,20306,4636553,550712,59286,317812,33189,226.8996,8952.399704,127129,207000,187339,451870,4765,286282,629622,25949,8373.063458,2924712,80,23.01,20.61,100.91,NA
2024-2025,Sep,18,MAHARASHTRA,1806,NASHIK,1070096,298.2139355,31,458,1355.620286,9167,64,49363,1763068,25604,11074,681923,193782,263.02609,6876.360845,56662,88251,176031,492952,1857,694082,1477071,58530,5257.714468,619723,81,33.73,13.58,100.37,NA
2024-2025,Sep,18,MAHARASHTRA,1813,SOLAPUR,516339,348.9075035,32,114,416.7197596,2125,94,22528,961388,33935,15119,7508,2468,70.49548,3841.570109,29225,46647,82034,188325,1361,556937,965921,24653,3354.35487,333222,97,80.82,0,105.65,NA
2024-2025,Sep,18,MAHARASHTRA,1814,KOLHAPUR,188363,300.0115577,26,28,81.30511,725,246,11410,358734,37945,18117,576,295,29.22621,1186.774781,13419,21547,45466,110014,286,357218,632377,12135,1076.243461,143138,92,43.55,0.05,113.34,NA
2024-2025,Sep,18,MAHARASHTRA,1819,NANDED,2240721,299.6012391,38,189,2107.108588,2651,66,52048,3675226,376833,76751,263935,38342,179.6629,13297.79413,94302,149650,177155,471087,5772,657949,1489204,54699,11011.02264,1550029,86,50.88,1.56,109.84,NA
2024-2025,Sep,18,MAHARASHTRA,1823,AKOLA,699844,292.6849355,28,1747,142.5760671,2410,7,26433,1156452,175586,35000,59422,9977,166.87775,3694.214608,40680,58102,85618,196751,1753,289413,559860,28843,3384.760791,414175,91,38.86,5.38,108.43,NA
2024-2025,Sep,18,MAHARASHTRA,1828,BHANDARA,3908517,181.5476146,36,5266,817.4136461,6324,8,20131,4698635,556034,59298,322933,33215,276.09804,9623.771449,127886,208473,187460,452085,4962,286567,630036,26455,8530.259763,2952268,80,23.29,19.82,100.82,NA
2024-2025,Sep,18,MAHARASHTRA,1831,NANDURBAR,683880,292.8632808,28,89,226.4132926,6278,10,42521,1300757,34258,10958,1001598,284735,214.86151,4250.714429,45964,66564,143557,345654,875,528244,1077427,48799,3809.439626,535167,79,47.02,1.72,102.58,NA
2024-2025,Sep,18,MAHARASHTRA,1835,PALGHAR,2501779,272.0671832,35,714,717.262068,7715,25,32515,2379978,8204,1718,2208235,331030,377.32886,7569.730034,66526,122392,123850,368957,3617,308523,725012,40230,6475.139106,1355888,82,15.5,15.7,101.76,NA
2024-2025,Sep,18,MAHARASHTRA,1804,RATNAGIRI,215227,298.4719864,19,72,37.4331078,3716,42,25653,323325,11378,7610,3910,1172,80.28353,1082.751188,16897,23834,56606,127740,91,255770,474287,29369,965.03455,139525,96,54.46,0.23,103.45,NA
2024-2025,Sep,18,MAHARASHTRA,1805,SINDHUDURG,201432,298.252191,26,85,68.1500499,1625,22,17432,262038,7006,3735,580,304,63.82855,913.5126761,9924,15927,37895,87172,218,129458,243551,19057,781.5340762,103959,79,77.09,5.91,100.72,NA
2024-2025,Sep,18,MAHARASHTRA,1812,SANGLI,204756,292.7040504,28,33,224.9771716,2749,82,13638,395297,20355,7808,364,207,81.06691,1463.094412,13747,19548,46134,98747,163,315140,552925,16387,1157.05033,136736,86,47.06,0.06,100.52,NA
2024-2025,Sep,18,MAHARASHTRA,1813,SOLAPUR,516339,348.9174596,32,113,388.7260909,2118,96,22506,954866,33855,15109,7502,2468,70.49548,3790.915761,29115,46439,81953,188157,1351,556823,965701,24624,3331.69419,330689,97,80.74,0,105.68,NA
2024-2025,Sep,18,MAHARASHTRA,1822,BULDHANA,678680,298.5037042,20,130,414.2740868,5031,13,30022,1178847,83066,32738,27023,7366,184.33876,4117.514809,56234,79937,119796,290359,267,483275,1007371,35053,3518.901962,407777,93,39.38,0.86,99.7,NA
2024-2025,Sep,18,MAHARASHTRA,1824,AMRAVATI,3672801,290.3422201,59,949,2721.371435,6875,9,45941,5376317,497696,53403,1814064,137578,210.08085,18541.17042,90435,169917,188217,527533,16402,471231,1058020,52816,15609.71814,2258651,78,36.81,16.79,129.05,NA
2024-2025,Sep,18,MAHARASHTRA,1806,NASHIK,1070096,297.7576363,30,456,1234.537126,9020,64,49426,1747123,24808,11061,676756,193679,263.02609,6699.755365,56438,87881,175921,492629,1828,693728,1476451,58446,5202.192148,614194,81,34.14,13.89,100.36,NA
2024-2025,Sep,18,MAHARASHTRA,1829,CHANDRAPUR,3190530,247.8796586,41,682,398.717431,8641,14,30667,4080315,424287,63398,884916,106514,420.31929,10933.30761,98061,169782,172177,494264,6480,381383,915527,39308,10114.27089,2161007,79,31.25,17.85,101.92,NA
2024-2025,Oct,18,MAHARASHTRA,1806,NASHIK,1955118,295.7639158,31,505,4189.223629,11977,39,49529,2006148,32250,11367,786424,197005,323.79537,10446.48088,63196,99460,179312,501491,2233,698096,1484249,61506,5933.461881,710216,82,31.44,13.63,100.68,NA
2024-2025,Oct,18,MAHARASHTRA,1807,DHULE,1717969,297.5000368,40,132,418.6550952,3166,16,31260,1837882,67296,16708,295862,72120,207.18665,6093.541372,45463,73365,96715,270315,3805,444950,937711,34426,5467.699627,700910,89,66.2,0.2,104.65,NA
